Author,Year,Title,Grau,Course,Pages,Institution,City,Link
"Araujo, Israel Ferraz De",2022,Otimização De Circuitos Para A Inicialização De Estados Quânticos,Doutorado, Ciências Da Computação,129,Universidade Federal De Pernambuco,Recife,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11731316
"Silva, Caue Francisco Teixeira Da",2022,Caminhando Em Vértices E Arestas Com O Passeio Quântico Contínuo No Tempo,Doutorado, Modelagem Computacional,65,Laboratório Nacional De Computação Ciêntífica,Petrópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12529431
"Bertei, Alex",2022,Extension Of The Correlation Coefficient Analysis Via Fuzzy Aggregations Applied In The Dynamic Consolidation Of Virtual Machine In Cloud Computing,Doutorado, Computação,145,Universidade Federal De Pelotas,Pelotas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11636845
"Schneider, Guilherme Bayer",2022,Uma Contribuição Ao Int-Flbcc Explorando Consenso Fuzzy Via Funções De Penalidade,Mestrado, Computação,98,Universidade Federal De Pelotas,Pelotas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11607227
"Moura, Bruno Moura Paz De",2022,Uma Abordagem Flexível Para Consolidação Dinâmica De Servidores Na Computação Em Nuvem Explorando Lógica Fuzzy Valorada Intervalarmente,Doutorado, Computação,122,Universidade Federal De Pelotas,Pelotas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11729345
"Menicucci, Lucas De Souza",2022,"Entanglement Entropy Of Free Scalar Fields, A Numerical Study",Mestrado, Física,undefined,Universidade Federal De Minas Gerais,Belo Horizonte,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11666821
"Carlos, Guilherme Baldo",2023,Quantum-Inspired Neural Architecture Search Applied To Semantic Segmentation,Mestrado, Engenharia Elétrica,81,Pontifícia Universidade Católica Do Rio De Janeiro,Rio De Janeiro,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13831768
"Sousa, Claudomir Pinto De",2021,Comparador Quantum-Óptico De Sequência De Bits E Aplicações,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10962398
"Camargo, Luana Carol De",2021,"Complexos Organometálicos De Titânio(Iii) E Vanádio(Iv) Como Potenciais Unidades Moleculares De Informação Quântica (Qubits Moleculares): Síntese, Caracterização E Estudos De Relaxação Magnética",Mestrado, Química,110,Universidade Federal Do Paraná,Curitiba,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10945986
"Fernandes, Marllos Eustaquio Fonseca",2023,Teoria De Controle Ótimo Aplicada A Sistemas Quânticos Abertos,Doutorado, Física,105,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14019389
"Bezerra, Raquel Costabile",2020,Estudo Da Adsorção De Álcoois Sobre Clusters E Superfícies De Metais De Transição Utilizando A Teoria Do Funcional Da Densidade,Doutorado, Química,173,Universidade Federal Do Amazonas,Manaus,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10489757
"Policarpo, Samy Clever",2023,Computação Reversível Fotônica: Uma Proposta De Uma Porta Toffoli Usando Qnd Para Qubits Baseados Em Polarização E Suas Aplicações,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14426126
"Bastos, Daniel Chicayban",2023,Uma Generalização Do Algoritmo De Shor,Doutorado, Computação,undefined,Universidade Federal Fluminense,Niterói,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11971629
"Tosta, Allan David Cony",2021,“Quantum Information And Computation With One-Dimensional Anyons”,Doutorado, Física,169,Universidade Federal Fluminense,Niterói,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10635179
"Alonso, Marcos Benicio De Andrade",2021,"“Amostragem Bosônica Com Estados Gaussianos”,",Mestrado, Física,93,Universidade Federal Fluminense,Niterói,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11010961
"Scursulim, Jose Victor Soares",2021,Computação Quântica E Teoria Quântica De Correção De Erros.,Mestrado, Física,200,Universidade Federal Do Espírito Santo,Vitória,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11082135
"Goettems, Elisa Iahn",2020,Correlações Quânticas No Modelo Dqc1 Com Pós-Seleção,Mestrado, Física,96,Universidade Federal De Santa Catarina,Florianópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=8288296
"Oliveira, Andre Gustavo De",2022,Interação De Vórtices Ópticos Escalares E Vetoriais Na Conversão Paramétrica Descendente Estimulada,Doutorado, Física,134,Universidade Federal De Santa Catarina,Florianópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11800068
"Carreiro, Alex Kevyn Dos Anjos",2022,Ensino De Computação Quântica Na Nuvem,Mestrado Profissional, Ensino De Física  - Profis,89,Universidade Federal Do Norte Do Tocantins,São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13655660
"Pozzobom, Mauro Buemo",2021,Estudo Experimental De Recursos Quânticos Usando Os Computadores Quânticos Da Ibm,Doutorado, Física,143,Universidade Federal De Santa Maria,Santa Maria,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11081159
"Alcantara, Maigan Stefanne Da Silva",2021,Categorias Relacionais Para Computação Quântica,Doutorado, Ciências Da Computação,128,Universidade Federal De Pernambuco,Recife,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11203998
"Pimenta, Raphael Cesar De Souza",2022,Estudo Da Viabilidade Do Uso Da Computação Quântica Para Análise De Propriedades De Sólidos Periódicos,Mestrado, Física - Ufsj - Unifal,93,Universidade Federal De Alfenas,Alfenas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11362345
"Silva, Joao Marcos Costa Da",2023,Transposição Didática Da Computação Quântica: Estados Emaranhados E Teleporte Quântico,Mestrado Profissional, Ensino De Física  - Profis,90,Universidade Federal Do Norte Do Tocantins,São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13637453
"Alvarez, Pedro Henrique Pereira De Carvalho",2023,Simulação De Magnetorecepção Aviária Em Computadores Quânticos,Mestrado, Física,68,Universidade Estadual De Campinas,Campinas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13857302
"Rosa, Evandro Chagas Ribeiro Da",2021,Ket Quantum Programming,Mestrado, Ciências Da Computação,109,Universidade Federal De Santa Catarina,Florianópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11501398
"Diniz, Ciro Micheletti",2022,Dos Conceitos Fundamentais Da Termodinâmica Ao Resetting De Computadores Quânticos ﻿,Mestrado, Física,74,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11580504
"Cruz, Igor Martins Grechi",2023,Passeios Aleatórios Quânticos,Mestrado, Modelagem De Sistemas Complexos,77,Universidade De São Paulo,São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14396777
"Arenstein, Lucas Silva",2022,"Uma Introdução À Computação Quântica, Protocolos De Complexidade De Comunicação Quânticos, Não-Localidade E Parâmetros Quânticos De Grafos.",Mestrado, Ciência Da Computação,107,Universidade De São Paulo,São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12386597
"Silva, Antonio Maciel Da",2020,Localização E Emaranhamento Em Caminhadas Quânticas Com Defeito De Fase,Mestrado, Física,50,Universidade Do Estado De Santa Catarina,Joinville,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9240816
"Barbosa, Patrick Jordy De Lima",2022,Caminhadas Quânticas Com Defeitos Fourier Simétricos,Mestrado, Física,66,Universidade Do Estado De Santa Catarina,Joinville,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11597419
"Silva, Jose Leonardo Esteves Da",2022,"Teoria E Aplicações Das Funções Wκ De Lambert-Kaniadakis, Wq De Lambert-Tsallis E As Disentropias Associadas",Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11629432
"Damasceno, Ranara Louise Campos",2022,Análise De Sistemas De Distribuição Quantum- Caótica De Chaves,Doutorado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13439038
"Guedes, Vitor Ferreira",2022,Teoria Da Detecção De Fótons Em Ondas Milimétricas E Resultados Analíticos Paraa Corrente Limitada Por Carga Espacial Usando A Função De Lambert-Tsallis,Mestrado, Engenharia De Teleinformática,undefined,Universidade Federal Do Ceará,Fortaleza,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12920289
"Neto, Jogi Suda",2023,"Parkinson, Chaos & Quantum Computing",Mestrado, Ciência Da Computação,79,Universidade Estadual Paulista Júlio De Mesquita Filho ( São José Do Rio Preto ),São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13840747
"Ricardo, Alexandre Cesar",2022,Estudo De Algoritmos Quânticos Para Resolução De Equações Diferenciais Parciais,Mestrado, Física,89,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11605613
"Akamatsu, Daniel Yoshio",2022,Algoritmos Quânticos Para Resolução De Equações Diferenciais: Análise De Complexidade E Aplicabilidade,Mestrado, Física,111,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=11589355
"Junior, Paulo Eduardo Zanni",2023,Otimização Dos Campos De Proteção Nas Técnicas De Desacoplamento Dinâmico Contínuo,Mestrado, Física,75,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13817469
"Chaves, Rodrigo Otavio Goncalves",2023,Oriented Quantum Walks,Doutorado, Ciências Da Computação,undefined,Universidade Federal De Minas Gerais,Belo Horizonte,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13865429
"Cunha, Iann",2023,Study Of Platforms Based On Semiconductors For Application In Quantum Computing,Doutorado, Física,102,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14017179
"Alves, Gabriel Oliveira",2023,Estimação Bayesiana Para Termometria Colisional E Computação Quântica Não-Holonômica Em Tempo Ótimo,Mestrado, Física,166,Universidade De São Paulo,São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13797853
"Schultz, Vitor Vaz",2023,Simulação De Canais Quânticos Usando Preparação Variacional De Estados,Mestrado, Física,74,Universidade Federal De Santa Maria,Santa Maria,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13915707
"Barroca, Marco Antonio Guimaraes Auad",2020,Computational Perspectives On Anyon Interferometry,Mestrado, Física,103,Pontifícia Universidade Católica Do Rio De Janeiro,Rio De Janeiro,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10312284
"Prado, Marcelo Velludo De Souza",2023,Tomografia De Hamiltoniano Para Sistemas De Dois Qubits,Mestrado, Ciência Da Computação,68,Universidade Estadual Paulista Júlio De Mesquita Filho ( São José Do Rio Preto ),São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14178881
"Avila, Anderson Braga De",2020,Hybrid-Gm: Parallel Model For Quantum Computing Targeted To Hybrid Architectures,Doutorado, Computação,96,Universidade Federal De Pelotas,Pelotas,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9275421
"Avalos, Claver Francisco Palomino",2020,Simulação Quântica Da Eletrodinâmica Quântica Com Espinores,Mestrado, Física,124,Universidade Federal De Santa Catarina,Florianópolis,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9317014
"Filho, Fernando Tenorio De Miranda",2020,Projeto Evolutivo De Circuitos Combinacionais Quânticos,Mestrado, Engenharia Elétrica E Computação,45,Universidade Presbiteriana Mackenzie,São Paulo,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9914409
"Fernandes, Gabriel Pedro Lima Moyses",2023,Algoritmo Quântico Para O Problema De Gerenciamento De Estoque,Mestrado, Física,92,Universidade Federal De São Carlos,São Carlos,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13904722
"Araujo, Ismael Cesar Da Silva",2023,Adaptive Ansatz Based On Low-Rank State Preparation,Mestrado, Ciências Da Computação,53,Universidade Federal De Pernambuco,Recife,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13769135
